seasonId,userNum,matchingMode,matchingTeamMode,mmr,nickname,rank,rankSize,totalGames,totalWins,totalTeamKills,escapeCount,rankPercent,averageRank,averageKills,averageAssistants,averageHunts,top1,top2,top3,top5,top7,characterStats
13,725291,3,1,2774,셀쓰녀가취향,499,33314,49,13,107,0,0.01,8,2.18,0,22.73,0.27,0.27,0.27,0.37,0.45,"[{'characterCode': 39, 'totalGames': 35, 'usages': 35, 'maxKillings': 9, 'top3': 10, 'wins': 10, 'top3Rate': 0, 'averageRank': 8}, {'characterCode': 43, 'totalGames': 12, 'usages': 12, 'maxKillings': 4, 'top3': 3, 'wins': 3, 'top3Rate': 0, 'averageRank': 7}, {'characterCode': 47, 'totalGames': 2, 'usages': 2, 'maxKillings': 4, 'top3': 0, 'wins': 0, 'top3Rate': 0, 'averageRank': 10}]"
13,725291,3,2,2580,셀쓰녀가취향,1085,39241,79,27,432,0,0.03,3.81,3.56,1.7,22.54,0.34,0.42,0.54,0.68,0.87,"[{'characterCode': 43, 'totalGames': 30, 'usages': 30, 'maxKillings': 9, 'top3': 20, 'wins': 11, 'top3Rate': 1, 'averageRank': 3}, {'characterCode': 39, 'totalGames': 20, 'usages': 20, 'maxKillings': 10, 'top3': 11, 'wins': 7, 'top3Rate': 1, 'averageRank': 4}, {'characterCode': 46, 'totalGames': 5, 'usages': 5, 'maxKillings': 7, 'top3': 4, 'wins': 4, 'top3Rate': 1, 'averageRank': 2}]"
13,725291,3,3,5208,셀쓰녀가취향,1,30457,802,436,7084,33,0,2.34,3.71,3.83,26.56,0.54,0.63,0.73,0.93,1,"[{'characterCode': 43, 'totalGames': 411, 'usages': 411, 'maxKillings': 10, 'top3': 317, 'wins': 248, 'top3Rate': 1, 'averageRank': 2}, {'characterCode': 39, 'totalGames': 336, 'usages': 336, 'maxKillings': 13, 'top3': 237, 'wins': 176, 'top3Rate': 1, 'averageRank': 2}, {'characterCode': 57, 'totalGames': 23, 'usages': 23, 'maxKillings': 8, 'top3': 14, 'wins': 7, 'top3Rate': 1, 'averageRank': 3}]"
13,207458,3,1,956,MUSIC,0,0,1,1,9,0,0,1,9,0,47,1,1,1,1,1,"[{'characterCode': 1, 'totalGames': 1, 'usages': 1, 'maxKillings': 9, 'top3': 1, 'wins': 1, 'top3Rate': 1, 'averageRank': 1}]"
13,207458,3,2,3036,SOS,528,38779,104,39,528,3,0.01,3.53,3.08,1.62,25.85,0.38,0.44,0.52,0.75,0.96,"[{'characterCode': 1, 'totalGames': 80, 'usages': 80, 'maxKillings': 13, 'top3': 44, 'wins': 33, 'top3Rate': 1, 'averageRank': 3}, {'characterCode': 20, 'totalGames': 9, 'usages': 9, 'maxKillings': 4, 'top3': 3, 'wins': 2, 'top3Rate': 0, 'averageRank': 4}, {'characterCode': 48, 'totalGames': 5, 'usages': 5, 'maxKillings': 7, 'top3': 2, 'wins': 2, 'top3Rate': 0, 'averageRank': 4}]"
13,207458,3,3,5203,SOS,2,25384,697,369,6529,39,0,2.31,4.04,3.32,26.75,0.53,0.64,0.74,0.94,1,"[{'characterCode': 1, 'totalGames': 510, 'usages': 510, 'maxKillings': 14, 'top3': 374, 'wins': 279, 'top3Rate': 1, 'averageRank': 2}, {'characterCode': 53, 'totalGames': 86, 'usages': 86, 'maxKillings': 8, 'top3': 69, 'wins': 52, 'top3Rate': 1, 'averageRank': 2}, {'characterCode': 7, 'totalGames': 53, 'usages': 53, 'maxKillings': 7, 'top3': 39, 'wins': 23, 'top3Rate': 1, 'averageRank': 2}]"
13,576995,3,1,2574,왕왕이,733,32896,30,7,72,0,0.02,6.03,2.4,0,22.23,0.23,0.3,0.4,0.57,0.6,"[{'characterCode': 17, 'totalGames': 30, 'usages': 30, 'maxKillings': 6, 'top3': 12, 'wins': 7, 'top3Rate': 0, 'averageRank': 6}]"
13,576995,3,2,3364,왕왕이,385,39277,133,32,804,4,0.01,3.88,2.29,3.53,15.73,0.24,0.38,0.5,0.74,0.89,"[{'characterCode': 17, 'totalGames': 133, 'usages': 133, 'maxKillings': 8, 'top3': 66, 'wins': 32, 'top3Rate': 0, 'averageRank': 4}]"
13,576995,3,3,4954,왕왕이,3,31102,568,279,5549,25,0,2.44,2.68,5.93,17.77,0.49,0.62,0.71,0.92,1,"[{'characterCode': 17, 'totalGames': 567, 'usages': 567, 'maxKillings': 10, 'top3': 406, 'wins': 279, 'top3Rate': 1, 'averageRank': 2}, {'characterCode': 36, 'totalGames': 1, 'usages': 1, 'maxKillings': 0, 'top3': 0, 'wins': 0, 'top3Rate': 0, 'averageRank': 5}]"
13,542829,3,1,2231,갓루디,2072,36649,29,4,44,0,0.06,7.31,1.52,0,22.69,0.14,0.31,0.38,0.48,0.52,"[{'characterCode': 10, 'totalGames': 24, 'usages': 24, 'maxKillings': 6, 'top3': 10, 'wins': 3, 'top3Rate': 0, 'averageRank': 7}, {'characterCode': 48, 'totalGames': 5, 'usages': 5, 'maxKillings': 4, 'top3': 1, 'wins': 1, 'top3Rate': 0, 'averageRank': 10}]"
13,542829,3,2,4104,갓루디,146,39224,346,77,1521,26,0,3.72,2.22,1.75,19.68,0.22,0.4,0.53,0.76,0.91,"[{'characterCode': 10, 'totalGames': 302, 'usages': 302, 'maxKillings': 8, 'top3': 171, 'wins': 74, 'top3Rate': 1, 'averageRank': 4}, {'characterCode': 56, 'totalGames': 30, 'usages': 30, 'maxKillings': 3, 'top3': 7, 'wins': 2, 'top3Rate': 0, 'averageRank': 5}, {'characterCode': 48, 'totalGames': 13, 'usages': 13, 'maxKillings': 4, 'top3': 4, 'wins': 1, 'top3Rate': 0, 'averageRank': 5}]"
13,542829,3,3,4885,갓루디,3,30945,844,386,6652,71,0,2.39,2.06,4.53,16.45,0.46,0.61,0.73,0.96,1,"[{'characterCode': 51, 'totalGames': 427, 'usages': 427, 'maxKillings': 8, 'top3': 314, 'wins': 200, 'top3Rate': 1, 'averageRank': 2}, {'characterCode': 10, 'totalGames': 398, 'usages': 398, 'maxKillings': 10, 'top3': 291, 'wins': 181, 'top3Rate': 1, 'averageRank': 2}, {'characterCode': 48, 'totalGames': 18, 'usages': 18, 'maxKillings': 4, 'top3': 14, 'wins': 5, 'top3Rate': 1, 'averageRank': 2}]"
13,570749,3,2,4156,ジュルル,52,38606,308,78,1404,5,0,3.76,2.86,1.48,25.87,0.25,0.38,0.52,0.75,0.91,"[{'characterCode': 36, 'totalGames': 55, 'usages': 55, 'maxKillings': 9, 'top3': 31, 'wins': 15, 'top3Rate': 1, 'averageRank': 4}, {'characterCode': 1, 'totalGames': 49, 'usages': 49, 'maxKillings': 11, 'top3': 31, 'wins': 18, 'top3Rate': 1, 'averageRank': 3}, {'characterCode': 31, 'totalGames': 35, 'usages': 35, 'maxKillings': 9, 'top3': 12, 'wins': 6, 'top3Rate': 0, 'averageRank': 5}]"
13,570749,3,3,4803,ジュルル,5,33022,449,196,3870,28,0,2.49,3.96,3.55,25.68,0.44,0.58,0.71,0.94,1,"[{'characterCode': 36, 'totalGames': 117, 'usages': 117, 'maxKillings': 12, 'top3': 88, 'wins': 57, 'top3Rate': 1, 'averageRank': 2}, {'characterCode': 1, 'totalGames': 79, 'usages': 79, 'maxKillings': 13, 'top3': 58, 'wins': 32, 'top3Rate': 1, 'averageRank': 2}, {'characterCode': 12, 'totalGames': 59, 'usages': 59, 'maxKillings': 11, 'top3': 50, 'wins': 40, 'top3Rate': 1, 'averageRank': 2}]"
13,463952,3,1,3962,데굴데굴미숫가루,82,45023,367,62,678,0,0,6.34,1.85,0,33.61,0.17,0.29,0.4,0.51,0.62,"[{'characterCode': 46, 'totalGames': 367, 'usages': 367, 'maxKillings': 9, 'top3': 145, 'wins': 62, 'top3Rate': 0, 'averageRank': 6}]"
