seasonId,userNum,matchingMode,matchingTeamMode,mmr,nickname,rank,rankSize,totalGames,totalWins,totalTeamKills,escapeCount,rankPercent,averageRank,averageKills,averageAssistants,averageHunts,top1,top2,top3,top5,top7,characterStats
13,725291,3,3,5208,셀쓰녀가취향,1,30457,802,436,7084,33,0,2.34,3.71,3.83,26.56,0.54,0.63,0.73,0.93,1,"[{'characterCode': 43, 'totalGames': 411, 'usages': 411, 'maxKillings': 10, 'top3': 317, 'wins': 248, 'top3Rate': 1, 'averageRank': 2}, {'characterCode': 39, 'totalGames': 336, 'usages': 336, 'maxKillings': 13, 'top3': 237, 'wins': 176, 'top3Rate': 1, 'averageRank': 2}, {'characterCode': 57, 'totalGames': 23, 'usages': 23, 'maxKillings': 8, 'top3': 14, 'wins': 7, 'top3Rate': 1, 'averageRank': 3}]"
13,207458,3,3,5203,SOS,2,25384,697,369,6529,39,0,2.31,4.04,3.32,26.75,0.53,0.64,0.74,0.94,1,"[{'characterCode': 1, 'totalGames': 510, 'usages': 510, 'maxKillings': 14, 'top3': 374, 'wins': 279, 'top3Rate': 1, 'averageRank': 2}, {'characterCode': 53, 'totalGames': 86, 'usages': 86, 'maxKillings': 8, 'top3': 69, 'wins': 52, 'top3Rate': 1, 'averageRank': 2}, {'characterCode': 7, 'totalGames': 53, 'usages': 53, 'maxKillings': 7, 'top3': 39, 'wins': 23, 'top3Rate': 1, 'averageRank': 2}]"
13,576995,3,3,4954,왕왕이,3,31102,568,279,5549,25,0,2.44,2.68,5.93,17.77,0.49,0.62,0.71,0.92,1,"[{'characterCode': 17, 'totalGames': 567, 'usages': 567, 'maxKillings': 10, 'top3': 406, 'wins': 279, 'top3Rate': 1, 'averageRank': 2}, {'characterCode': 36, 'totalGames': 1, 'usages': 1, 'maxKillings': 0, 'top3': 0, 'wins': 0, 'top3Rate': 0, 'averageRank': 5}]"
13,542829,3,3,4885,갓루디,4,30945,844,386,6652,71,0,2.39,2.06,4.53,16.45,0.46,0.61,0.73,0.96,1,"[{'characterCode': 51, 'totalGames': 427, 'usages': 427, 'maxKillings': 8, 'top3': 314, 'wins': 200, 'top3Rate': 1, 'averageRank': 2}, {'characterCode': 10, 'totalGames': 398, 'usages': 398, 'maxKillings': 10, 'top3': 291, 'wins': 181, 'top3Rate': 1, 'averageRank': 2}, {'characterCode': 48, 'totalGames': 18, 'usages': 18, 'maxKillings': 4, 'top3': 14, 'wins': 5, 'top3Rate': 1, 'averageRank': 2}]"
13,570749,3,3,4803,ジュルル,5,33022,449,196,3870,28,0,2.49,3.96,3.55,25.68,0.44,0.58,0.71,0.94,1,"[{'characterCode': 36, 'totalGames': 117, 'usages': 117, 'maxKillings': 12, 'top3': 88, 'wins': 57, 'top3Rate': 1, 'averageRank': 2}, {'characterCode': 1, 'totalGames': 79, 'usages': 79, 'maxKillings': 13, 'top3': 58, 'wins': 32, 'top3Rate': 1, 'averageRank': 2}, {'characterCode': 12, 'totalGames': 59, 'usages': 59, 'maxKillings': 11, 'top3': 50, 'wins': 40, 'top3Rate': 1, 'averageRank': 2}]"
13,463952,3,3,4741,데굴데굴미숫가루,6,31850,335,168,3188,10,0,2.45,3.91,4.5,20.84,0.5,0.59,0.7,0.93,1,"[{'characterCode': 46, 'totalGames': 190, 'usages': 190, 'maxKillings': 11, 'top3': 132, 'wins': 98, 'top3Rate': 1, 'averageRank': 2}, {'characterCode': 35, 'totalGames': 44, 'usages': 44, 'maxKillings': 8, 'top3': 28, 'wins': 20, 'top3Rate': 1, 'averageRank': 3}, {'characterCode': 16, 'totalGames': 42, 'usages': 42, 'maxKillings': 9, 'top3': 34, 'wins': 22, 'top3Rate': 1, 'averageRank': 2}]"
13,1553415,3,3,4723,적을찾는피5라,7,32231,323,161,3260,9,0,2.45,4.99,3.84,20.88,0.5,0.6,0.71,0.93,1,"[{'characterCode': 8, 'totalGames': 249, 'usages': 249, 'maxKillings': 15, 'top3': 178, 'wins': 132, 'top3Rate': 1, 'averageRank': 2}, {'characterCode': 12, 'totalGames': 35, 'usages': 35, 'maxKillings': 10, 'top3': 27, 'wins': 15, 'top3Rate': 1, 'averageRank': 2}, {'characterCode': 3, 'totalGames': 32, 'usages': 32, 'maxKillings': 7, 'top3': 20, 'wins': 13, 'top3Rate': 1, 'averageRank': 3}]"
13,360435,3,3,4655,게임적응못한사람,8,30450,277,143,2789,7,0,2.39,2.11,5.87,11.83,0.52,0.61,0.72,0.93,1,"[{'characterCode': 42, 'totalGames': 87, 'usages': 87, 'maxKillings': 9, 'top3': 59, 'wins': 45, 'top3Rate': 1, 'averageRank': 2}, {'characterCode': 41, 'totalGames': 46, 'usages': 46, 'maxKillings': 4, 'top3': 33, 'wins': 23, 'top3Rate': 1, 'averageRank': 2}, {'characterCode': 15, 'totalGames': 22, 'usages': 22, 'maxKillings': 6, 'top3': 19, 'wins': 13, 'top3Rate': 1, 'averageRank': 2}]"
13,429054,3,3,4631,リルパ,9,32457,477,198,3982,28,0,2.58,1.93,4.98,13.14,0.42,0.56,0.69,0.93,1,"[{'characterCode': 33, 'totalGames': 216, 'usages': 216, 'maxKillings': 8, 'top3': 158, 'wins': 107, 'top3Rate': 1, 'averageRank': 2}, {'characterCode': 51, 'totalGames': 149, 'usages': 149, 'maxKillings': 5, 'top3': 105, 'wins': 61, 'top3Rate': 1, 'averageRank': 3}, {'characterCode': 50, 'totalGames': 50, 'usages': 50, 'maxKillings': 6, 'top3': 36, 'wins': 17, 'top3Rate': 1, 'averageRank': 3}]"
13,2854562,3,3,4614,민트초코와플,10,33045,274,128,2298,12,0,2.43,2.02,5.73,14.87,0.47,0.6,0.74,0.92,1,"[{'characterCode': 45, 'totalGames': 180, 'usages': 180, 'maxKillings': 8, 'top3': 142, 'wins': 93, 'top3Rate': 1, 'averageRank': 2}, {'characterCode': 46, 'totalGames': 48, 'usages': 48, 'maxKillings': 12, 'top3': 35, 'wins': 21, 'top3Rate': 1, 'averageRank': 3}, {'characterCode': 20, 'totalGames': 20, 'usages': 20, 'maxKillings': 5, 'top3': 12, 'wins': 7, 'top3Rate': 1, 'averageRank': 3}]"
13,501191,3,3,4602,말파,11,29099,485,229,4276,30,0,2.33,3.2,4.53,13.04,0.47,0.62,0.75,0.96,1,"[{'characterCode': 56, 'totalGames': 373, 'usages': 373, 'maxKillings': 11, 'top3': 280, 'wins': 185, 'top3Rate': 1, 'averageRank': 2}, {'characterCode': 24, 'totalGames': 93, 'usages': 93, 'maxKillings': 12, 'top3': 68, 'wins': 37, 'top3Rate': 1, 'averageRank': 2}, {'characterCode': 58, 'totalGames': 19, 'usages': 19, 'maxKillings': 8, 'top3': 16, 'wins': 7, 'top3Rate': 1, 'averageRank': 2}]"
13,294507,3,3,4601,솔개,12,27127,408,140,3188,22,0,2.71,3.3,3.61,19.1,0.34,0.54,0.68,0.92,1,"[{'characterCode': 18, 'totalGames': 408, 'usages': 408, 'maxKillings': 11, 'top3': 278, 'wins': 140, 'top3Rate': 1, 'averageRank': 3}]"
13,1374507,3,3,4555,공주열차,13,30332,290,143,2890,6,0,2.47,3.14,4.5,17.61,0.49,0.59,0.71,0.93,1,"[{'characterCode': 48, 'totalGames': 117, 'usages': 117, 'maxKillings': 11, 'top3': 79, 'wins': 58, 'top3Rate': 1, 'averageRank': 3}, {'characterCode': 3, 'totalGames': 109, 'usages': 109, 'maxKillings': 11, 'top3': 81, 'wins': 57, 'top3Rate': 1, 'averageRank': 2}, {'characterCode': 19, 'totalGames': 31, 'usages': 31, 'maxKillings': 8, 'top3': 24, 'wins': 16, 'top3Rate': 1, 'averageRank': 2}]"
13,3515612,3,3,4546,더때려줘,14,30212,495,194,4123,24,0,2.6,3.31,4.13,13.85,0.39,0.58,0.69,0.94,1,"[{'characterCode': 56, 'totalGames': 294, 'usages': 294, 'maxKillings': 10, 'top3': 207, 'wins': 130, 'top3Rate': 1, 'averageRank': 2}, {'characterCode': 58, 'totalGames': 137, 'usages': 137, 'maxKillings': 10, 'top3': 95, 'wins': 50, 'top3Rate': 1, 'averageRank': 3}, {'characterCode': 24, 'totalGames': 44, 'usages': 44, 'maxKillings': 9, 'top3': 30, 'wins': 11, 'top3Rate': 1, 'averageRank': 3}]"
13,224287,3,3,4538,영만,15,32794,456,172,3878,24,0,2.65,3.98,3.76,22.88,0.38,0.54,0.66,0.95,1,"[{'characterCode': 48, 'totalGames': 395, 'usages': 395, 'maxKillings': 12, 'top3': 271, 'wins': 159, 'top3Rate': 1, 'averageRank': 3}, {'characterCode': 43, 'totalGames': 14, 'usages': 14, 'maxKillings': 7, 'top3': 7, 'wins': 5, 'top3Rate': 0, 'averageRank': 3}, {'characterCode': 56, 'totalGames': 10, 'usages': 10, 'maxKillings': 8, 'top3': 4, 'wins': 1, 'top3Rate': 0, 'averageRank': 4}]"
13,572087,3,3,4535,상당구핏빛길,16,33002,314,126,2471,13,0,2.51,2.54,4.32,16.52,0.4,0.57,0.72,0.95,1,"[{'characterCode': 20, 'totalGames': 223, 'usages': 223, 'maxKillings': 9, 'top3': 158, 'wins': 87, 'top3Rate': 1, 'averageRank': 3}, {'characterCode': 42, 'totalGames': 27, 'usages': 27, 'maxKillings': 7, 'top3': 18, 'wins': 14, 'top3Rate': 1, 'averageRank': 2}, {'characterCode': 45, 'totalGames': 23, 'usages': 23, 'maxKillings': 5, 'top3': 20, 'wins': 11, 'top3Rate': 1, 'averageRank': 2}]"
13,478304,3,3,4534,ASeuNa,17,33125,1009,297,7075,39,0,2.89,3.65,2.74,17.84,0.29,0.5,0.63,0.92,1,"[{'characterCode': 15, 'totalGames': 929, 'usages': 929, 'maxKillings': 14, 'top3': 592, 'wins': 275, 'top3Rate': 1, 'averageRank': 3}, {'characterCode': 16, 'totalGames': 47, 'usages': 47, 'maxKillings': 7, 'top3': 33, 'wins': 18, 'top3Rate': 1, 'averageRank': 3}, {'characterCode': 17, 'totalGames': 18, 'usages': 18, 'maxKillings': 5, 'top3': 7, 'wins': 2, 'top3Rate': 0, 'averageRank': 4}]"
13,328575,3,3,4512,노트북던진알렉스,18,33054,276,112,2336,22,0,2.77,3.66,3.68,19.1,0.41,0.55,0.62,0.9,1,"[{'characterCode': 14, 'totalGames': 200, 'usages': 200, 'maxKillings': 11, 'top3': 130, 'wins': 85, 'top3Rate': 1, 'averageRank': 3}, {'characterCode': 59, 'totalGames': 37, 'usages': 37, 'maxKillings': 7, 'top3': 24, 'wins': 19, 'top3Rate': 1, 'averageRank': 3}, {'characterCode': 4, 'totalGames': 21, 'usages': 21, 'maxKillings': 10, 'top3': 12, 'wins': 7, 'top3Rate': 1, 'averageRank': 3}]"
13,218512,3,3,4508,StellaUnibell,19,29254,597,278,4843,44,0,2.5,3.24,4.09,22.38,0.47,0.58,0.69,0.94,1,"[{'characterCode': 34, 'totalGames': 397, 'usages': 397, 'maxKillings': 12, 'top3': 280, 'wins': 202, 'top3Rate': 1, 'averageRank': 2}, {'characterCode': 20, 'totalGames': 42, 'usages': 42, 'maxKillings': 7, 'top3': 29, 'wins': 18, 'top3Rate': 1, 'averageRank': 2}, {'characterCode': 55, 'totalGames': 42, 'usages': 42, 'maxKillings': 8, 'top3': 31, 'wins': 20, 'top3Rate': 1, 'averageRank': 2}]"
13,1193238,3,3,4494,비에도지지않고,20,32993,498,184,3943,32,0,2.64,3.44,2.86,22.11,0.37,0.54,0.68,0.94,1,"[{'characterCode': 37, 'totalGames': 391, 'usages': 391, 'maxKillings': 14, 'top3': 267, 'wins': 153, 'top3Rate': 1, 'averageRank': 3}, {'characterCode': 7, 'totalGames': 31, 'usages': 31, 'maxKillings': 6, 'top3': 24, 'wins': 10, 'top3Rate': 1, 'averageRank': 3}, {'characterCode': 6, 'totalGames': 25, 'usages': 25, 'maxKillings': 6, 'top3': 18, 'wins': 6, 'top3Rate': 1, 'averageRank': 3}]"
13,3181361,3,3,4469,커피프린스,21,27759,450,154,3622,26,0,2.68,3.39,3.77,34.06,0.34,0.54,0.69,0.93,1,"[{'characterCode': 5, 'totalGames': 450, 'usages': 450, 'maxKillings': 14, 'top3': 310, 'wins': 154, 'top3Rate': 1, 'averageRank': 3}]"
13,2952493,3,3,4461,뉘슈,22,33045,283,135,2460,6,0,2.42,4.33,3.57,32.96,0.48,0.6,0.74,0.93,1,"[{'characterCode': 31, 'totalGames': 283, 'usages': 283, 'maxKillings': 12, 'top3': 209, 'wins': 135, 'top3Rate': 1, 'averageRank': 2}]"
13,866258,3,3,4435,オグリキャップ,23,33102,283,93,2116,13,0,2.48,2.59,4.17,19.28,0.33,0.61,0.75,0.95,1,"[{'characterCode': 12, 'totalGames': 140, 'usages': 140, 'maxKillings': 10, 'top3': 113, 'wins': 55, 'top3Rate': 1, 'averageRank': 2}, {'characterCode': 20, 'totalGames': 99, 'usages': 99, 'maxKillings': 6, 'top3': 72, 'wins': 29, 'top3Rate': 1, 'averageRank': 3}, {'characterCode': 17, 'totalGames': 28, 'usages': 28, 'maxKillings': 4, 'top3': 17, 'wins': 6, 'top3Rate': 1, 'averageRank': 3}]"
13,1936623,3,3,4422,오일,24,32844,465,176,3757,26,0,2.67,3.29,3.89,14.09,0.38,0.53,0.67,0.94,1,"[{'characterCode': 56, 'totalGames': 277, 'usages': 277, 'maxKillings': 10, 'top3': 183, 'wins': 113, 'top3Rate': 1, 'averageRank': 3}, {'characterCode': 58, 'totalGames': 84, 'usages': 84, 'maxKillings': 11, 'top3': 65, 'wins': 29, 'top3Rate': 1, 'averageRank': 2}, {'characterCode': 33, 'totalGames': 59, 'usages': 59, 'maxKillings': 9, 'top3': 35, 'wins': 22, 'top3Rate': 1, 'averageRank': 3}]"
13,604477,3,3,4409,행복한세상초록쓰,25,32891,257,90,1900,18,0,2.47,2.63,3.78,21.65,0.35,0.59,0.76,0.96,1,"[{'characterCode': 9, 'totalGames': 81, 'usages': 81, 'maxKillings': 9, 'top3': 66, 'wins': 34, 'top3Rate': 1, 'averageRank': 2}, {'characterCode': 30, 'totalGames': 75, 'usages': 75, 'maxKillings': 8, 'top3': 63, 'wins': 34, 'top3Rate': 1, 'averageRank': 2}, {'characterCode': 11, 'totalGames': 26, 'usages': 26, 'maxKillings': 10, 'top3': 19, 'wins': 8, 'top3Rate': 1, 'averageRank': 3}]"
13,765136,3,3,4403,매끄,26,29644,941,301,6619,52,0,2.93,2.27,3.69,16.01,0.32,0.47,0.61,0.92,1,"[{'characterCode': 8, 'totalGames': 547, 'usages': 547, 'maxKillings': 14, 'top3': 329, 'wins': 166, 'top3Rate': 1, 'averageRank': 3}, {'characterCode': 51, 'totalGames': 159, 'usages': 159, 'maxKillings': 4, 'top3': 104, 'wins': 67, 'top3Rate': 1, 'averageRank': 3}, {'characterCode': 41, 'totalGames': 122, 'usages': 122, 'maxKillings': 4, 'top3': 74, 'wins': 48, 'top3Rate': 1, 'averageRank': 3}]"
13,3668214,3,3,4401,가수망냥냥,27,26593,394,142,2806,16,0,2.63,2.82,3.18,15,0.36,0.53,0.69,0.95,1,"[{'characterCode': 12, 'totalGames': 348, 'usages': 348, 'maxKillings': 10, 'top3': 234, 'wins': 126, 'top3Rate': 1, 'averageRank': 3}, {'characterCode': 19, 'totalGames': 42, 'usages': 42, 'maxKillings': 9, 'top3': 33, 'wins': 16, 'top3Rate': 1, 'averageRank': 2}, {'characterCode': 36, 'totalGames': 2, 'usages': 2, 'maxKillings': 2, 'top3': 1, 'wins': 0, 'top3Rate': 0, 'averageRank': 4}]"
13,3167172,3,3,4391,Star,28,28629,295,134,2505,13,0,2.64,3.18,4.17,21.58,0.45,0.57,0.66,0.91,1,"[{'characterCode': 38, 'totalGames': 64, 'usages': 64, 'maxKillings': 11, 'top3': 40, 'wins': 33, 'top3Rate': 1, 'averageRank': 3}, {'characterCode': 12, 'totalGames': 57, 'usages': 57, 'maxKillings': 11, 'top3': 46, 'wins': 33, 'top3Rate': 1, 'averageRank': 2}, {'characterCode': 54, 'totalGames': 46, 'usages': 46, 'maxKillings': 8, 'top3': 31, 'wins': 19, 'top3Rate': 1, 'averageRank': 3}]"
13,268108,3,3,4377,지미,29,32462,553,122,3630,46,0,3.16,2.96,2.9,19.13,0.22,0.41,0.57,0.91,1,"[{'characterCode': 10, 'totalGames': 224, 'usages': 224, 'maxKillings': 12, 'top3': 140, 'wins': 43, 'top3Rate': 1, 'averageRank': 3}, {'characterCode': 48, 'totalGames': 164, 'usages': 164, 'maxKillings': 12, 'top3': 90, 'wins': 38, 'top3Rate': 1, 'averageRank': 3}, {'characterCode': 15, 'totalGames': 127, 'usages': 127, 'maxKillings': 14, 'top3': 70, 'wins': 38, 'top3Rate': 1, 'averageRank': 3}]"
13,1393502,3,3,4372,HOL언문,30,31139,243,110,2144,14,0,2.52,3.51,4.1,17.88,0.45,0.58,0.69,0.95,1,"[{'characterCode': 4, 'totalGames': 243, 'usages': 243, 'maxKillings': 12, 'top3': 167, 'wins': 110, 'top3Rate': 1, 'averageRank': 3}]"
13,103259,3,3,4358,ダルミル,31,32894,348,120,2444,24,0,2.77,2.12,3.78,22.15,0.34,0.51,0.63,0.94,1,"[{'characterCode': 1, 'totalGames': 124, 'usages': 124, 'maxKillings': 7, 'top3': 73, 'wins': 36, 'top3Rate': 1, 'averageRank': 3}, {'characterCode': 20, 'totalGames': 117, 'usages': 117, 'maxKillings': 8, 'top3': 77, 'wins': 43, 'top3Rate': 1, 'averageRank': 3}, {'characterCode': 56, 'totalGames': 78, 'usages': 78, 'maxKillings': 8, 'top3': 51, 'wins': 34, 'top3Rate': 1, 'averageRank': 3}]"
13,2851871,3,3,4349,더단순한닉네임,32,26504,471,172,3315,31,0,2.73,1.27,4.48,12.19,0.37,0.52,0.68,0.92,1,"[{'characterCode': 3, 'totalGames': 270, 'usages': 270, 'maxKillings': 5, 'top3': 188, 'wins': 100, 'top3Rate': 1, 'averageRank': 3}, {'characterCode': 53, 'totalGames': 58, 'usages': 58, 'maxKillings': 5, 'top3': 39, 'wins': 28, 'top3Rate': 1, 'averageRank': 3}, {'characterCode': 2, 'totalGames': 43, 'usages': 43, 'maxKillings': 9, 'top3': 30, 'wins': 12, 'top3Rate': 1, 'averageRank': 3}]"
